freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250087,Samuel Pierce,male,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,False,
FL250088,Briana Smith,female,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,False,61.0
FL250089,Ronald Barrett,male,57.0,Russia,Russian,AI,16.0,100.0,3.1,False,
FL250090,Matthew Smith,male,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,False,86.0
FL250091,Logan Huang,male,21.0,Italy,Italian,DevOps,2.0,100.0,1.6,True,97.0
FL250092,Miranda Hutchinson,female,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,True,63.0
FL250093,Paul Richardson,male,53.0,China,Mandarin,UI/UX Design,21.0,100.0,0.0,True,97.0
FL250094,Jose Jones,male,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,True,81.0
FL250095,Denise Smith,female,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,False,69.0
FL250096,Shelby Mcmahon,female,36.0,Italy,Italian,UI/UX Design,0.0,20.0,1.3,True,64.0
FL250097,Bethany Wright,female,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,False,77.0
FL250098,David Ortiz,male,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,False,96.0
FL250099,Andrew Lynch,male,41.0,United States,English,UI/UX Design,5.0,20.0,1.1,False,74.0
FL250100,Kristopher Meyers,male,32.0,Egypt,Arabic,UI/UX Design,10.0,50.0,1.2,False,89.0
FL250101,Thomas Roth,male,35.0,India,Hindi,Mobile Apps,0.0,52.46136865342164,2.0,True,64.0
FL250102,Vicki Brown,female,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,False,64.0
FL250103,Stacy Sutton,female,50.0,Russia,Russian,DevOps,30.0,100.0,3.0,True,73.0
FL250104,Kimberly Holland,female,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,True,68.0
FL250105,Travis Richardson,male,25.0,United States,English,Graphic Design,3.0,30.0,0.0,False,88.0
FL250106,Jasmin Ho,female,57.0,France,French,DevOps,21.0,40.0,2.5,False,77.0
FL250107,Mark Paul,male,58.0,Russia,Russian,Blockchain Development,3.0,52.46136865342164,0.0,True,
FL250108,Jennifer Lewis,female,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,0.0,True,72.0
FL250109,Elizabeth Lester,female,23.0,United States,English,Web Development,0.0,20.0,4.7,True,60.0
FL250110,Kimberly Griffin,female,46.0,United States,English,AI,9.0,30.0,3.5,,72.0
FL250111,Tyler Warner,male,27.0,Argentina,Spanish,UI/UX Design,5.0,30.0,0.0,False,92.0
FL250112,Jane Cox,female,32.0,United States,English,Machine Learning,6.0,50.0,3.4,True,
FL250113,Leah Williams,female,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,,92.0
FL250114,Kevin Wong,male,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,True,
FL250115,Robert Andrews,male,59.0,Turkey,Turkish,AI,13.0,20.0,4.8,,
FL250116,Jessica Torres,female,32.0,Mexico,Spanish,AI,5.0,30.0,0.0,False,86.0
FL250117,Teresa Kim,female,57.0,Egypt,Arabic,UI/UX Design,4.0,40.0,3.4,True,68.0
FL250118,Jon Morgan,male,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,True,62.0
FL250119,Gloria Chaney,female,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,False,
FL250120,Jesse Campbell,male,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,True,82.0
FL250121,Allison Tucker MD,female,36.0,Indonesia,Indonesian,UI/UX Design,13.0,75.0,0.0,True,
FL250122,Candice Petersen,female,47.0,Italy,Italian,DevOps,5.0,40.0,3.7,False,93.0
FL250123,Christopher Nichols,male,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,True,64.0
FL250124,Debra Garcia,female,27.0,China,Mandarin,UI/UX Design,8.0,50.0,0.0,,
FL250125,Andrew Fuentes,male,34.0,Australia,English,Web Development,10.0,52.46136865342164,1.7,False,96.0
FL250126,Jason Carter,male,49.0,South Korea,Korean,Data Analysis,19.0,52.46136865342164,5.0,True,83.0
FL250127,Austin Romero,male,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,True,64.0
FL250128,Clayton Burns,male,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,False,70.0
FL250129,Jonathan Clark,male,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,False,65.0
FL250130,Alexander Griffin,male,47.0,France,French,Machine Learning,13.0,40.0,3.4,,67.0
FL250131,Shelly Whitehead,female,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,False,93.0
FL250132,Kaitlyn Davis,female,57.0,France,French,Machine Learning,0.0,50.0,1.6,False,60.0
FL250133,Christopher Jones,male,50.0,India,Hindi,Web Development,22.0,100.0,4.1,False,62.0
FL250134,Cindy Jacobs,female,41.0,Brazil,Portuguese,Machine Learning,4.0,52.46136865342164,2.5,,70.0
FL250135,Penny Day,female,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,True,75.0
FL250136,Thomas Ingram,male,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,False,70.0
FL250137,Donna Hansen,female,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,0.0,True,84.0
FL250138,Donna Bailey,female,39.0,France,French,Cybersecurity,5.0,40.0,1.2,False,83.0
FL250139,Joshua Armstrong,male,26.0,Mexico,Spanish,UI/UX Design,5.0,50.0,0.0,False,
FL250140,Jonathan Garza,male,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,False,88.0
FL250141,Charles Jones,male,52.0,France,French,UI/UX Design,15.0,50.0,0.0,True,81.0
FL250142,Lindsey Miles,female,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,True,80.0
FL250143,Eduardo Reed,male,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,True,67.0
FL250144,Lee Fowler,male,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,False,82.0
FL250145,Steven Jones Jr.,male,56.0,France,French,UI/UX Design,21.0,100.0,0.0,True,78.0
FL250146,Ashley Chen,female,59.0,Germany,German,AI,7.0,40.0,1.4,False,81.0
FL250147,Erica Davis,female,54.0,Egypt,Arabic,Blockchain Development,4.0,52.46136865342164,1.4,True,74.0
FL250148,Wayne Gonzales,male,36.0,Germany,German,UI/UX Design,7.0,30.0,0.0,False,88.0
FL250149,Gary Ballard,male,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,False,90.0
FL250150,Maria Mcguire,female,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,False,
FL250151,Matthew Richards,male,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,,
FL250152,Patrick Malone,male,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,False,93.0
FL250153,Cindy Martin,female,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,True,
FL250154,Anne Edwards,female,38.0,Japan,Japanese,DevOps,20.0,75.0,1.1,False,71.0
FL250155,Mitchell Martin,male,47.0,South Korea,Korean,DevOps,29.0,40.0,4.3,True,95.0
FL250156,Mitchell Patrick,male,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,False,80.0
FL250157,Rebecca Lyons,female,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,False,
FL250158,Christian Lopez,male,56.0,South Africa,Afrikaans,Data Analysis,9.0,100.0,3.2,False,62.0
FL250159,Nathan Blair,male,42.0,Russia,Russian,DevOps,2.0,50.0,1.9,False,95.0
FL250160,Patricia Lopez,female,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,False,79.0
FL250161,Michelle Wu,female,47.0,Indonesia,Indonesian,UI/UX Design,12.0,40.0,4.5,False,62.0
FL250162,Donald Mitchell,male,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,False,68.0
FL250163,Sean Gordon,male,56.0,Indonesia,Indonesian,DevOps,15.0,75.0,0.0,False,
FL250164,Gregory Clarke,male,59.0,United Kingdom,English,DevOps,29.0,75.0,0.0,False,80.0
FL250165,Steven Whitney,male,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,,92.0
FL250166,Robin Acosta,female,31.0,South Africa,Afrikaans,Web Development,9.0,75.0,1.3,True,65.0
FL250167,John Smith,male,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,True,87.0
FL250168,Susan Baker,female,31.0,Canada,English,Web Development,10.0,75.0,0.0,False,70.0
FL250169,Anthony Larsen,male,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,False,87.0
FL250170,Nicholas Carpenter,male,46.0,France,French,DevOps,23.0,20.0,2.9,False,72.0
FL250171,Debra Salazar,female,41.0,Netherlands,Dutch,Blockchain Development,9.0,40.0,2.8,False,80.0
FL250172,William Smith,male,34.0,Japan,Japanese,UI/UX Design,0.0,20.0,1.7,False,66.0
FL250173,Caroline Gross,female,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,True,
FL250174,Jeremy Sawyer,male,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,True,64.0
FL250175,Eduardo Burns,male,29.0,Brazil,Portuguese,UI/UX Design,9.0,20.0,0.0,,68.0
FL250176,Amanda Jones,female,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,False,63.0
FL250177,Frederick Ware,male,47.0,India,Hindi,DevOps,8.0,20.0,4.5,True,72.0
FL250178,Michael Black,male,47.0,South Africa,Afrikaans,AI,14.0,30.0,0.0,True,86.0
FL250179,Patricia Sanders,female,45.0,France,French,Graphic Design,21.0,30.0,1.5,True,73.0
FL250180,Marc Joseph,male,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,False,95.0
FL250181,Vanessa White,female,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,False,90.0
FL250182,Jennifer Garcia,female,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,False,78.0
FL250183,Michael Zavala,male,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,False,97.0
FL250184,Kimberly Williams,female,33.0,Germany,German,UI/UX Design,11.0,52.46136865342164,0.0,True,65.0
FL250185,Elizabeth Jenkins,female,31.0,Australia,English,Web Development,4.0,40.0,3.2,True,78.0
FL250186,Brandon Ford,male,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,True,65.0
FL250187,Justin House,male,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,,
FL250188,Henry Mullen,male,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,True,95.0
FL250189,Jesse Cochran,male,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,0.0,True,88.0
FL250190,Melissa Rich,female,49.0,Mexico,Spanish,Graphic Design,9.0,52.46136865342164,1.8,False,
FL250191,Patrick Dunlap,male,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,False,92.0
FL250192,Troy Carson,male,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,False,75.0
FL250193,Matthew Smith,male,41.0,Italy,Italian,DevOps,9.0,30.0,1.4,False,74.0
FL250194,Jennifer Cherry,female,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,True,71.0
FL250195,Brandi Tucker,female,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,True,89.0
FL250196,Zachary Burke,male,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,,66.0
FL250197,Thomas Jones,male,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,False,
FL250198,Brian Dunn,male,32.0,France,French,Machine Learning,11.0,40.0,4.3,True,86.0
FL250199,Shirley Strickland,female,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,True,86.0
FL250200,Nicole Meyers,female,39.0,Argentina,Spanish,Data Analysis,11.0,100.0,3.5,True,82.0
FL250201,Jill Stephens,female,25.0,Spain,Spanish,AI,2.0,100.0,2.5,False,87.0
FL250202,Heidi Miranda,female,55.0,China,Mandarin,Machine Learning,7.0,100.0,1.7,True,80.0
FL250203,Jesus Martinez,male,42.0,Italy,Italian,DevOps,10.0,100.0,4.6,True,71.0
FL250204,Adam Payne,male,43.0,Russia,Russian,Mobile Apps,6.0,50.0,0.0,False,77.0
FL250205,Walter Williams,male,54.0,Italy,Italian,DevOps,29.0,30.0,1.7,False,68.0
FL250206,Shannon Farmer,female,21.0,Egypt,Arabic,Graphic Design,0.0,20.0,1.8,False,91.0
FL250207,Peter Reyes,male,46.0,Canada,English,UI/UX Design,5.0,20.0,2.2,False,75.0
FL250208,Kristen Knight,female,30.0,Spain,Spanish,Blockchain Development,11.0,40.0,1.0,False,90.0
FL250209,William Moore Jr.,male,36.0,China,Mandarin,Machine Learning,11.0,75.0,3.2,False,93.0
FL250210,Jennifer Rowe,female,47.0,Germany,German,Data Analysis,15.0,40.0,2.1,True,94.0
FL250211,Mikayla Henry,female,43.0,Canada,English,Mobile Apps,1.0,50.0,4.6,True,64.0
FL250212,Jacob Kerr,male,57.0,South Korea,Korean,Cybersecurity,8.0,20.0,0.0,True,84.0
FL250213,Ryan Johnson,male,52.0,Italy,Italian,Machine Learning,30.0,20.0,2.8,False,87.0
FL250214,Michael Ruiz,male,41.0,Germany,German,Blockchain Development,8.0,40.0,0.0,False,64.0
FL250215,Monica Roberts,female,22.0,Indonesia,Indonesian,Machine Learning,0.0,100.0,2.7,True,64.0
FL250216,Danny Brown,male,41.0,India,Hindi,Machine Learning,12.0,20.0,0.0,True,80.0
FL250217,Karen Larsen,female,58.0,Spain,Spanish,Mobile Apps,4.0,50.0,3.1,False,90.0
FL250218,Robert Evans,male,39.0,South Korea,Korean,Web Development,14.0,100.0,0.0,True,92.0
FL250219,Sean Poole,male,32.0,Indonesia,Indonesian,Graphic Design,14.0,52.46136865342164,0.0,False,96.0
FL250220,Richard Quinn,male,37.0,Canada,English,UI/UX Design,2.0,30.0,2.3,True,
FL250221,Jennifer Gonzalez,female,21.0,China,Mandarin,Cybersecurity,2.0,100.0,2.4,True,
FL250222,James Skinner,male,41.0,South Korea,Korean,Machine Learning,4.0,75.0,2.6,,85.0
FL250223,Michelle Hill,female,21.0,Canada,English,AI,0.0,40.0,1.1,False,79.0
FL250224,Jacqueline Williams,female,58.0,China,Mandarin,Machine Learning,9.0,30.0,0.0,True,65.0
FL250225,Darrell Johnson,male,60.0,Canada,English,Machine Learning,3.0,40.0,4.7,False,63.0
FL250226,Ryan Crawford,male,27.0,South Africa,Afrikaans,Web Development,2.0,40.0,1.2,False,
FL250227,Chelsea Barber,female,29.0,Germany,German,Machine Learning,10.0,40.0,1.2,False,78.0
FL250228,Elaine Martinez,female,54.0,Canada,English,Graphic Design,33.0,75.0,0.0,True,62.0
FL250229,Joseph Kent,male,52.0,Mexico,Spanish,Machine Learning,12.0,40.0,1.2,False,76.0
FL250230,Megan Welch,female,55.0,Indonesia,Indonesian,Blockchain Development,18.0,100.0,2.9,False,97.0
FL250231,Stephen Ramirez,male,37.0,Brazil,Portuguese,Blockchain Development,4.0,52.46136865342164,0.0,False,
FL250232,Chloe Gray,female,34.0,Egypt,Arabic,Data Analysis,11.0,50.0,3.9,True,82.0
FL250233,Michael Williams Jr.,male,20.0,France,French,Data Analysis,1.0,50.0,3.1,,71.0
FL250234,Matthew Martin,male,22.0,Mexico,Spanish,UI/UX Design,2.0,52.46136865342164,0.0,True,
FL250235,Julia Murphy,female,23.0,South Korea,Korean,Graphic Design,2.0,50.0,3.2,True,
FL250236,Anna Evans,female,53.0,South Korea,Korean,Blockchain Development,34.0,30.0,0.0,True,
FL250237,Brenda Fleming,female,56.0,South Korea,Korean,Graphic Design,27.0,100.0,4.7,True,69.0
FL250238,Daniel Harrington,male,27.0,Canada,English,AI,4.0,75.0,5.0,False,88.0
FL250239,Daniel Barnett,male,34.0,Italy,Italian,Mobile Apps,11.0,40.0,0.0,False,67.0
FL250240,Mark Cummings,male,29.0,United States,English,Web Development,4.0,50.0,4.0,False,
FL250241,Christopher Guerra,male,34.0,India,Hindi,AI,11.0,52.46136865342164,1.2,True,
FL250242,Sarah Ho,female,32.0,Mexico,Spanish,AI,1.0,100.0,4.7,False,67.0
FL250243,Veronica Thomas,female,21.0,South Africa,Afrikaans,Machine Learning,2.0,20.0,2.4,,86.0
FL250244,Mitchell Watson,male,20.0,Mexico,Spanish,Graphic Design,2.0,52.46136865342164,1.1,False,69.0
FL250245,Monica Murphy,female,35.0,United States,English,Mobile Apps,10.0,50.0,1.4,True,85.0
FL250246,Kristen Williams,female,47.0,United States,English,UI/UX Design,18.0,40.0,3.4,False,60.0
FL250247,Nicole Wright,female,41.0,Turkey,Turkish,Blockchain Development,4.0,40.0,2.7,True,70.0
FL250248,Andrew Ruiz,male,58.0,Argentina,Spanish,Web Development,23.0,52.46136865342164,4.9,False,
FL250249,Zachary Jackson,male,34.0,China,Mandarin,Data Analysis,6.0,75.0,1.9,True,81.0
FL250250,Stephanie Carter,female,50.0,India,Hindi,Mobile Apps,5.0,100.0,0.0,True,
FL250251,Amy Olson,female,42.0,Mexico,Spanish,DevOps,19.0,75.0,4.6,False,78.0
FL250252,Fred Stark,male,43.0,Germany,German,UI/UX Design,6.0,50.0,0.0,False,81.0
FL250253,Jacob Gill,male,34.0,Germany,German,Data Analysis,8.0,75.0,1.8,True,71.0
FL250254,Anthony Nichols,male,24.0,Spain,Spanish,Mobile Apps,3.0,75.0,2.0,False,
FL250255,William Knapp,male,48.0,South Africa,Afrikaans,UI/UX Design,8.0,30.0,5.0,True,99.0
FL250256,Elizabeth Walker,female,39.0,South Korea,Korean,Data Analysis,12.0,20.0,3.2,True,66.0
FL250257,Brenda Reeves,female,57.0,Australia,English,Blockchain Development,30.0,30.0,2.4,,80.0
FL250258,Carrie Little,female,44.0,Canada,English,Web Development,21.0,100.0,2.9,False,83.0
FL250259,Steven Jackson,male,37.0,Brazil,Portuguese,UI/UX Design,17.0,20.0,0.0,True,87.0
FL250260,Mark Perry,male,50.0,Turkey,Turkish,Data Analysis,9.0,30.0,3.0,False,76.0
FL250261,Cameron Spencer,male,50.0,Spain,Spanish,UI/UX Design,2.0,50.0,1.6,False,89.0
FL250262,Jennifer Holmes,female,28.0,France,French,Graphic Design,1.0,20.0,3.6,True,94.0
FL250263,Jacob Joseph,male,48.0,Italy,Italian,Web Development,23.0,52.46136865342164,2.1,False,68.0
FL250264,Jeffery Tucker,male,42.0,Germany,German,DevOps,8.0,30.0,3.6,True,96.0
FL250265,Jacqueline Drake,female,37.0,Canada,English,Data Analysis,6.0,20.0,2.7,True,91.0
FL250266,Brian Bautista,male,21.0,India,Hindi,Blockchain Development,1.0,100.0,2.1,True,92.0
FL250267,Dakota Wells,male,50.0,South Korea,Korean,Web Development,19.0,40.0,4.9,,82.0
